word,meaning,phonetic,example,example_cn
considerate,体贴的；考虑周到的；考虑周到的， 体贴的， 体谅的；考虑周到的；体谅的,,It was very considerate of you to help me.,你真是太体贴了，这么帮我。
consideration,考虑， 思考， 要考虑的事； 体贴， 关心；考虑，思考；体贴,,"After careful consideration, I decided to accept the job.",经过慎重考虑，我决定接受这份工作。
considering,鉴于， 考虑到， 顾及,,"Considering the weather, the trip was quite enjoyable.",考虑到天气因素，这次旅行还是挺愉快的。
consist,由……组成；由…组成； 在于； 一致；由…组成；在于,,"The salad consists of lettuce, tomatoes, and cucumbers.",这份沙拉由生菜、番茄和黄瓜组成。
consistent,一致的；坚持的， 一贯的； 一致的， 符合的；坚持的，一贯的,,His work has been consistently good.,他的工作一贯很出色。
conspicuous,显著地,,The red car was very conspicuous in the parking lot.,那辆红色的车在停车场里非常显眼。
constant,不断的，持续的；常数， 恒量；经常的，不断的，连续发生的；永恒的；忠实的，忠诚的；经常的；永恒的,,The constant noise from the street makes it hard to sleep.,街上不断的噪音让人难以入睡。
constantly,不断地，时常地,,She constantly checks her phone for messages.,她不停地查看手机有没有消息。
constitute,组成；组成， 形成； 设立； 任命,,Twelve months constitute a year.,十二个月构成一年。
constitution,宪法， 章程； 组成； 设立；章程；体质；构造,,The country's constitution guarantees freedom of speech.,这个国家的宪法保障言论自由。
construct,建筑物； 构想， 观念；建造； 构思；建造；建设；构筑,,They plan to construct a new bridge next year.,他们计划明年建造一座新桥。
construction,建筑；建造； 建筑物； 结构；建造；建筑；建筑物,,The construction of the new school will begin soon.,新学校的建设即将开始。
constructive,建设的，建设性的,,Thank you for your constructive feedback.,感谢你的建设性反馈。
consult,咨询；请教，查阅；请教； 查阅； 商议,,You should consult a doctor if the pain continues.,如果疼痛持续，你应该咨询医生。
consultancy,咨询公司,,He works for a management consultancy.,他在一家管理咨询公司工作。
consultant,顾问；顾问； 会诊医师， 专科医生,,We hired a consultant to improve our sales.,我们聘请了一位顾问来提升销售额。
consume,消耗，消费；消灭；消费， 吃完， 喝光； 毁灭； 使着迷， 充满；消费，消耗,,This car consumes a lot of fuel.,这辆车消耗很多燃料。
consumer,消费者， 用户， 消耗者,,Consumers are always looking for good deals.,消费者总是在寻找划算的交易。
consumption,消耗量；消耗；消耗， 消费；消费，消耗,,The consumption of sugar has increased worldwide.,全球的糖消耗量增加了。
contact,与…接触， 与…取得联系；使接触；与…联系；接触；联系，交往；联系，接触,,Please contact me if you have any questions.,如果你有任何问题，请与我联系。
contain,包含，容纳；等于,,This box contains old photographs.,这个盒子里装着老照片。
container,容器； 集装箱；容器；集装箱,,Put the leftovers in a plastic container.,把剩菜放进一个塑料容器里。
contaminate,污染，弄脏,,The river was contaminated by industrial waste.,这条河被工业废料污染了。
contemporary,同代人， 当代人；当代的，同时代的；当代的，现代的；当代的；同时代的,,Contemporary music is very popular among young people.,当代音乐在年轻人中很受欢迎。
contempt,轻蔑；藐视；受辱,,She looked at him with contempt.,她轻蔑地看着他。
content,内容；满意的，满足的,,The content of the book is very informative.,这本书的内容信息量很大。
contest,争夺， 与…竞争； 对…提出质疑， 辩驳；争夺，争取；辩驳；比赛；竞赛， 争夺,,She won first prize in the singing contest.,她在歌唱比赛中获得了一等奖。
context,背景，环境,,You need to understand the context of the conversation.,你需要理解对话的上下文。
continent,大陆；陆地；洲,,Africa is the second largest continent.,非洲是第二大洲。
continual,不断的；连续的；连续的； 频频的,,The continual rain ruined our picnic.,连续不断的雨毁了我们的野餐。
continue,继续，连续；延伸,,Please continue with your work.,请继续你的工作。
continuous,连续不断的，持续的；连续不断的； 延伸的,,The continuous noise made it impossible to concentrate.,持续的噪音让人无法集中注意力。
contract,合同；契约， 合同；契约，合同；婚约；缩小； 订合同； 感染， 染上,,He signed a contract with the company.,他和公司签了一份合同。
contradiction,矛盾， 不一致； 否认， 反驳；矛盾，不一致；否认,,There is a contradiction between his words and his actions.,他的言行之间存在矛盾。
contrary,相反；相反的,,"Contrary to popular belief, not all snakes are dangerous.",与普遍看法相反，并非所有蛇都是危险的。
contrast,对比；对比， 对照； 反差；对比，反差；对比，对照；对比，对照，悬殊；形成对比， 对比之下显出区别,,The contrast between the two photos is striking.,这两张照片之间的对比很鲜明。
contribute,捐款，贡献；捐献， 捐款； 投稿；捐献，捐助；投稿,,Everyone should contribute to the discussion.,每个人都应该参与讨论发表意见。
contribution,贡献， 促成作用； 捐款， 捐献物； 稿件；贡献；捐献,,He made a significant contribution to the project.,他对这个项目做出了重大贡献。
control,控制；控制，克制,,You need to control your temper.,你需要控制你的脾气。
controversial,引起争论的， 有争议的,,The new law is very controversial.,这项新法律很有争议。
controversy,争论， 辩论,,The decision caused a lot of controversy.,这个决定引发了很多争议。
convenience,便利，方便；厕所；方便； 便利设施,,The convenience of online shopping saves time.,网购的便利节省了时间。
convenient,便利的；近便的；方便的,,The bus stop is very convenient.,这个公交车站很方便。
convention,习俗， 惯例； 公约； 会议；习俗，惯例；公约,,It is a convention to shake hands when you meet someone.,见面握手是一种惯例。
conventional,传统的；普通的； 习惯的， 常规的； 因循守旧的；普通的；习惯的,,She prefers conventional medicine over herbal remedies.,比起草药疗法，她更倾向于传统医学。
conversation,会话，非正式会谈,,We had a pleasant conversation over dinner.,我们在晚餐时进行了一次愉快的交谈。
conversely,相反；相反地,,"Some people like hot weather; conversely, others prefer cold weather.",有些人喜欢热天，相反地，其他人喜欢冷天。
conversion,转变，转化；改变,,The conversion of the old factory into a museum took two years.,将旧工厂改造成博物馆花了两年时间。
convert,使转变；使改变；转变， 转化； 改变,,We converted the sofa into a bed.,我们把沙发改成了床。
convey,传达，传递；传送；运送；传播；表达， 传递； 运送， 输送,,Her smile conveyed happiness.,她的微笑传达了快乐。
convict,囚犯；证明…有罪；证明…有罪， 宣判…有罪,,The convict was sentenced to ten years in prison.,这名囚犯被判处十年监禁。
conviction,确信； 坚定的信仰； 说服， 信服； 定罪， 判罪,,He spoke with conviction about his beliefs.,他坚定地谈论自己的信仰。
convince,使相信；使确信， 使信服， 说服；使确信，使信服,,I tried to convince her to come with us.,我试图说服她和我们一起来。
convincing,令人信服的,,His argument was not very convincing.,他的论点不太令人信服。
cook,烧菜；烹调，煮,,My mother cooks delicious food for us every day.,我妈妈每天给我们做美味的食物。
cool,凉的，冷静的,,"It is cool in autumn, perfect for a walk.",秋天很凉爽，非常适合散步。
cooperate,合作， 协作； 配合；合作，协作；配合,,The two teams need to cooperate on this project.,两个团队需要在这个项目上合作。
cooperative,合作的,,She is very cooperative and easy to work with.,她很合作，很容易共事。
